codigo_estructura,potencia,tipo,potencia2,porcentaje_perdida,doblenivel,descripcion_larga,desc_nemot,perdidas_w,perdidas2_w
SDD0136,3,,,,,SGDA 220V 2F Fotovoltaica de 3kW,SDD-2F3,,
COO0397,,,0,0,,Conductor TTU Al #700 MCM,CO0-0M700,,
APO0302,100,C,0,15,C,Lum. 120 V Na 100 W en poste con red aerea hilo piloto pot. cte. C,APC-0PLCS100PC,15,
APO0309,100,C,0,15,C,Lum. 120 V Na 100 W en poste con red aerea Autocontrolada pot. cte. C,APC-0PLCS100AC,15,
ECV0059,400,C,0,0,,Capacitor fijo 22kV 1F 400kVAR,ECV-1C400,,
APO0411,500,C,0,12,,Proy. 240 V Hg 500 W en poste con red subt hilo piloto pot. cte. C,APD-0SPCM500PC,60,
COO0365,,,0,0,,Conductor Semiaislado o Ecológico Clase 35kV Al 397.5 MCM,CO0-0K397.5,,
TRV0331,40,C,0,0,,Banco de 2 transformadores en paralelo 22 kV monofásicos 40 kVA en cámara,TRV-1V40,,
TRS0236,85,C,0,0,,Banco de 2 transformadores en paralelo 6 kV bifasicos 85 KVA en poste,TRS-2B85,,
TAE0003,,,0,0,,Tensor a tierra doble con un cable ligado para tensar,TAE-0TD,,
SPV0052,,,0,0,,Protección 22kV 2F con descargador 18kV,SPV-2P18,,
ESR0089,,,0,0,,Est. 34.5 kV 3F Volada Retención deriv.1F Centrada Retención,ESR-3VR+1CR,,
SDD0268,45.04,,,,,SGDA 220V 3F Fotovoltaica de 45.04kW,SDD-3F45.04,,
TRR0440,80,C,0,0,,Banco de 3 transformadores 34.5 kV monofásicos 80 KVA en cámara,TRR-3I80,,
APO0320,400,D,250,12,S,Lum. 240 V Na400 W en poste con red aerea Autocontrolada Dob.niv.pot. C,APD-0PLCS400AD,48,30
SPV0006,,,0,0,,Secc. 22kV 1F con seccionador de cuchilla 200A,SPV-1C200,,
APO0772,120,C,0,10,,Lum. 240 V Led 120 W en poste con red aerea Autocontrolada pot. cte. C,APD-0PLCL120AC,12,
ESR0032,,,0,0,,Est. 34.5 kV 3F Dos Postes Retención,ESR-3HR,,
APO0216,400,C,0,12,C,Lum. 240 V Hg 400 W en poste con red subt Autocontrolada pot. cte. C,APD-0SLCM400AC,48,
TRV0268,125,C,0,0,,Banco de 2 transformadores 22 kV monofásicos 125 kVA en cámara,TRV-3V125,,
SSV0011,,,0,0,,"Secc. red subt. 22kV 1F con barraje desc., 2 vias,  600 A",SSV-1B2_600,,
